,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,3799451.784824269,5003945.449117574,7322049.045368316,6903646.24277584,6083161.527218513,6085045.442216104,5572291.6406696495,2998554.2008630885,3102927.598204468,6903646.24277584,4724800.927849863,6776911.899230546,5785248.142025347,5615560.486463485,898581.02173923,2345690.3548123864,1968932.6723551431,4928207.965998328,485878.5330936585,4716874.927053147,4716874.927053147,3412941.8388319327,1289957.8207357298,7143405.339443148,2442446.352710149,260014.49872643576,3164231.8225495853,258885.6369374642,2192629.768205433,2452091.8877155078,2534762.0490282066,3046542.842659345,4272666.473644548,7108988.539223172,3486378.685472563,4192896.1144746835,3066473.5639939234,0.0,0.0,0.0,4947586.867360564,5924999.7279101135,2540298.4103844753,5780374.500567994,3711484.750327678,2192629.768205433,5541773.839950476,3582922.8558952385,6999721.668280901,3142122.1685095867,5541773.839950476,4037371.3703968157,2569106.994744605,7100767.8680657055,2130453.9862895547,5060252.758925382,3462580.383108074,4039502.3124328735,2771334.923638157,4039502.3124328735,667051.4768091596,3270694.9693709365,1538985.2286294166,3062166.5362065444,732451.5368252574,6849239.557774893,5693642.180138209,6829761.126672395,3387139.3929255013,2235287.900022847,1173315.1117164472,154641.43488488696,1147167.874634927,2993173.331970158,5535305.103345939
1,1336461.3813496314,1818336.6266856499,2620535.882140267,2470790.974589395,2180779.26322172,2181454.636174096,1987972.8119806782,1071362.1894196738,1108609.0314763805,2470790.974589395,1694728.20218571,2424890.734238692,2053279.1091825059,1991673.664951872,298079.16847559816,818384.705154715,674789.1842625734,1754278.372917921,157291.9411306089,1676723.5210257694,1676723.5210257694,1195293.88010733,438101.5321558356,2545866.4017239953,857609.8983839497,62065.90687934835,1098223.0933492712,61796.44563385191,776106.9981902883,842104.3657400333,869766.7602702393,1077707.0717304188,1525583.9982618943,2564997.126868059,1223685.1538818777,1488867.2998838453,1071473.7316014639,0.0,0.0,0.0,1756590.2930226095,2114065.3685808335,886907.1995057081,2074980.2571139366,1342830.6357995532,776106.9981902883,1975165.787516633,1276559.6240511502,2516939.705986723,1096943.4170049177,1975165.787516633,1473779.3800496343,890786.3345038429,2551426.3142091124,745067.9327451,1797651.6617085834,1210934.1734576316,1420285.1182971133,965540.6759504422,1420285.1182971133,230163.77906458106,1140446.0437813895,540779.9162835248,1068226.4941137512,232357.27213157705,2442848.361408924,2023539.8420184522,2452712.229646271,1218377.6815432492,764741.0179677338,396040.31595593324,48192.88715287503,382822.39528025605,1074896.6995036206,1967309.2162496415
2,18209486.040381182,15288238.29493946,25478741.143194295,24022813.077868912,20752947.289441228,20759374.340320583,25126964.760065295,8667701.731308164,9056709.315553749,24022813.077868912,15175841.28813431,23630994.486307442,23330514.99536471,22433389.243993495,7611573.336414678,13024273.92047436,11254771.780417733,23066915.428352825,6043936.887728158,21966750.055493355,21966750.055493355,12269779.21216013,9136226.49391342,26653449.884418547,13449870.010275397,5456237.043537058,14141926.669850802,5432548.604853107,12472279.822962984,10655743.68454912,11004857.896068893,15742026.922012111,20553795.931410074,28520288.39222392,12397287.145195883,20001850.11477325,15477721.18015244,0.0,0.0,0.0,22874498.010979317,21069401.76583485,13849675.931594484,26192028.120070774,10705222.309791924,12472279.822962984,24889091.01276876,17798821.89544567,31188528.750567712,15345948.949252272,24889091.01276876,11475818.591758627,13510616.190598244,31418088.75,5904486.804258639,18267624.13615664,15946177.390550274,18091607.984821625,9486181.179570958,18091607.984821625,0.0,15062114.081981169,2931197.9147705566,15034793.005961595,6933044.2316557625,24692397.935905218,24645430.783695526,29630048.611513518,9727109.219336387,11466239.863115907,8635045.936169742,0.0,8665950.896568641,8334820.484818766,24283443.466214493
3,33627588.79324145,31527477.08676338,50851851.44538764,47946031.36279406,41095774.84198234,41108501.932363875,48514509.57685217,15836855.294007715,16593238.640215859,47946031.36279406,29385365.213209946,47118629.0442919,44049591.847259626,42212263.53818086,13700358.67402237,24226515.26838132,19587130.26764489,44703647.411806166,11686576.110113008,42213535.47271338,42213535.47271338,20939778.310570784,16607762.309619326,52523999.4435251,25685431.96720264,8754037.172747517,24210821.936441343,8716031.222648758,24961029.495943777,17143012.330618307,17618942.61843108,30534174.680119712,40921834.658739746,59663047.86245058,21394185.36400783,38538984.687957026,28134694.608746435,0.0,0.0,0.0,43619464.50420641,40847080.95345111,25689990.180154186,52441995.79660887,21275206.247348618,24961029.495943777,47815072.37785445,35391363.74537218,62157376.18482494,27540774.124101713,47815072.37785445,23982423.859435458,24030621.407884423,60660743.16927321,8892608.618772568,34327215.309814274,28460345.507340096,32905075.12495346,15342236.38103191,32905075.12495346,0.0,26525898.055651337,3555403.041956361,26929692.237395734,11548865.920454966,48069998.698176615,46639191.38632668,57631167.73764166,18594217.378354743,19088060.035373196,15580954.473949254,0.0,15198725.765553562,15619403.578848392,46001618.96093794
4,1207032.4665224832,978521.2487210302,1669769.175939296,1574353.7944570503,1321902.993651239,1322312.37828848,1744744.6607305876,375771.12599989265,401268.7076691225,1574353.7944570503,872496.7137083695,1547268.150081738,1472011.2040689013,1399869.5249328176,592343.6246638217,940105.6234700484,718289.7264799757,1659333.9873578977,570892.9437401359,1549708.9069587174,1549708.9069587174,556683.2953941827,688861.0320239858,1751624.0292341008,1019390.1914816916,404157.35562451225,764091.9422271347,402402.69272020896,1048067.7194922763,482767.09511930833,491736.78430148115,1196848.742994324,1587799.984601627,2024067.2284761856,574582.4181927387,1439586.2840878763,1019906.8192670791,0.0,0.0,0.0,1582986.22280382,1314166.579174985,986288.0567881844,1941276.4544515563,590567.428479408,1048067.7194922763,1709474.9438702548,1395637.64951677,2215413.5083675063,968115.1128149637,1709474.9438702548,707587.5490352422,868123.6205229391,2092724.8597404638,97206.31583490632,1070831.4052338966,963294.0632284945,1120421.4174348423,344477.84619347134,1120421.4174348423,0.0,883683.2106313808,0.0,947185.2964539268,481075.55845118157,1566193.8934465374,1615666.841786827,1978433.7608126346,479472.0517553905,629435.2819326516,649614.4414879398,0.0,622763.2095217693,371629.31427995604,1606914.8815320814
5,12732738.659853278,7463223.382794776,14011902.703901058,13211222.549392425,11124129.316440478,11127574.385909798,16901414.511797678,3153372.187810059,3381998.7089964096,13211222.549392425,7318327.657920724,13001985.334578222,13692131.975053256,13076606.796681449,7155459.947427855,10320586.990182783,8560181.38478328,16590300.733216433,6530361.902571991,15537206.776058087,15537206.776058087,5873130.327997604,8079030.095717325,15003915.22273205,10858629.810012098,5788609.108240499,8624053.782292215,5763477.6649341,10662254.360229816,5979791.711869516,6142717.131191783,12362982.787948681,15720602.678838825,16605456.38093472,5925341.718127023,14589028.628745586,11168103.376180049,0.0,0.0,0.0,15889159.030249914,11457009.73226719,10813770.322717004,18641573.621547874,4452573.951168475,10662254.360229816,16567557.826312955,13931393.368994126,19838067.706999555,10620600.229611916,16567557.826312955,4998290.942851268,9869655.1450235,18026900.132407255,1298731.4441803894,9769726.708365079,10379571.477982413,11628832.063833049,3960639.370394371,11628832.063833049,0.0,9690292.513518592,0.0,10435885.029982612,6423716.22567318,13616518.24669396,15445137.42599831,16974789.72356677,3764208.541395166,7729403.832976718,7718764.57045699,0.0,7672466.760831834,2901545.8591435878,15515272.367359241
6,15093322.420620892,8147465.302501043,15811660.669276347,14908137.202460555,12480143.5494633,12484008.567595683,19696127.07671527,3138127.251343738,3400574.1926981383,14908137.202460555,7992477.8142032605,14674101.378413856,15660732.935610127,14942937.077325152,8922507.02578012,12531760.416236894,10335297.72176322,19697239.62269928,8270304.597230934,18389254.911524896,18389254.911524896,6430597.532639915,9987007.215207987,17022878.574939102,13221393.537874363,7339380.329272685,9986666.794088146,7307516.159970486,13091257.966744008,6818488.642258697,6997017.950097967,14975018.832690418,18927813.72471653,18883940.331293434,6482837.244225467,17398190.71005084,13334055.84282255,0.0,0.0,0.0,18743392.93456133,12904681.36114935,13096945.440043878,21681536.836539615,4632154.487482172,13091257.966744008,19291674.087669514,16856917.61043206,22651282.483934622,12583933.833133055,19291674.087669514,5259330.279731111,11821342.610181324,20531936.148100708,972356.3487488851,10969942.899004899,12153404.692839252,13565962.125991598,4171788.379542424,13565962.125991598,0.0,11328040.654335959,0.0,12373408.841781635,8004260.468420098,15383903.948479079,17841228.349930983,19326858.981070198,3825639.9504629998,9139036.101043321,9557734.987839127,0.0,9491715.371141134,2827943.4270752408,17981830.85939218
7,12836442.689233959,7226258.288481191,13831925.202698866,13041529.47683036,10921499.235372012,10924881.551641872,16927674.922884487,2806344.592632238,3033732.1191817196,13041529.47683036,7026223.0851648105,12835025.754235692,13547944.024023307,12922377.167804312,7478055.326343154,10594344.795025691,8696167.305978365,16813380.184381094,6949963.007816853,15702642.487788064,15702642.487788064,5543294.030243931,8391923.677080955,14861003.505521141,11198672.18157461,6082746.932694016,8486959.272310546,6056338.4800195135,11122202.560189204,5773569.927425847,5922542.215904237,12718996.353978183,16138381.03468725,16563187.00299285,5598837.914690023,14824966.814905569,11298216.845932512,0.0,0.0,0.0,16013823.853324667,11251238.482415203,11076076.263750963,18685588.120017257,4150896.3261552644,11122202.560189204,16580660.19308558,14357789.493767625,19754063.361076042,10673932.593740165,16580660.19308558,4734055.779614206,9986976.073582685,17945966.916392185,882956.1993073801,9529465.32038997,10342447.207798326,11584178.05918786,3596493.7401474863,11584178.05918786,0.0,9630758.638010573,0.0,10491144.711250536,6668116.428283399,13411914.546041517,15374347.813539509,16894428.43584241,3429783.0790627147,7698109.655952837,8023255.117412842,0.0,7950026.3697541235,2558023.7451002025,15471351.169177115
8,28726386.660974048,22504507.464453436,38329622.83796706,36139358.67579751,30862882.167451125,30872440.19847232,40005853.49678119,11282552.06671559,11872192.259160297,36139358.67579751,21693309.117252767,35542450.38349101,35109606.839050375,33623811.97653109,13332907.050561333,21524408.18628226,17913659.98963355,37431012.05848434,11524603.681686426,35342831.769019105,35342831.769019105,16664189.518676927,15645513.05494047,40259591.392597444,22587093.783991978,9759877.323679669,20726039.10698782,9717504.484358339,21769910.493173577,14866317.39464914,15300944.178956548,26309330.97965175,34356271.85833999,44971923.91169196,16900996.89513222,32516971.96704635,24535722.168049145,0.0,0.0,0.0,36483350.81919861,31216447.542051814,22741590.50776922,43215050.22852645,14897184.990633303,21769910.493173577,39398891.41050815,29976186.20148185,50640711.891244866,23871515.785709377,39398891.41050815,16507673.498848952,21347281.640766244,47847530.28549791,6438861.053086097,26596387.780858297,24250937.84151143,27600940.322321445,12162252.705079831,27600940.322321445,0.0,22704274.257658057,1790696.9034584272,23394350.54339522,11785961.574168487,36816298.622257985,37991765.82052436,45169731.26381217,13088773.87412285,17215581.951107226,14818173.639377553,0.0,14679209.873474017,10862715.384839222,37679221.17341358
9,5881770.715387024,2867870.39034255,5744671.003164838,5416404.088698275,4537909.917833151,4539315.2786005195,7463232.006840258,1105988.4789661563,1203720.8377053498,5416404.088698275,2889136.0846895664,5333274.679857598,5855438.772758467,5595393.377728423,3566790.7099995464,4932639.15215254,4126732.6510103266,7596921.187106274,3265829.845317405,7089204.744529993,7089204.744529993,2459377.914398695,3974919.054163041,6208983.816348773,5171940.792007837,3007832.239567439,3919494.0044570803,2994773.633606944,5061219.053666572,2711982.4236383135,2786418.03782253,5822459.069064308,7293081.474612999,6788927.793625512,2466696.84295825,6736036.730798046,5240138.447120392,0.0,0.0,0.0,7218826.093840112,4738098.289464594,5154081.594456435,8097634.838973942,1600700.2438872927,5061219.053666572,7312624.200163334,6502532.948941746,8240254.7911686795,4939719.290421503,7312624.200163334,1785792.7875856245,4678866.966883298,7442797.489553195,360725.81788825325,4075496.088791344,4740414.799494167,5245078.903789693,1611452.3342302688,5245078.903789693,0.0,4431790.784701334,0.0,4861628.644271327,3252536.863205761,5643692.497359148,6726613.096996885,7006159.258497237,1329196.2498325282,3656271.4114250215,3812391.3705730443,0.0,3810122.5340309064,967353.1030799643,6805907.630727023
